Timestamp;Object_List;Objects_Count;frisbee;clock;tv;bus;stop sign;person;chair;train;truck;car;airplane;traffic light;fire hydrant
1549643601478498;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643603289223;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643605173710;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643606978868;['car', 'car', 'car', 'car', 'car'];5;;;;;;;;;;5.0;;;
1549643608853237;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643610676729;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643612488235;['car'];1;;;;;;;;;;1.0;;;
1549643614369477;['car'];1;;;;;;;;;;1.0;;;
1549643616244735;['car'];1;;;;;;;;;;1.0;;;
1549643618050403;['car'];1;;;;;;;;;;1.0;;;
1549643619865609;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643621677478;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
